timestamp,tool,file_path,action,details
2026-05-13 18:15:23,Bash,-,executed,"gh api repos/seng1218/TA-Futures/contents/src/app/disclaimer/page.tsx --jq '.content' | base64 -d 2>/dev/null || gh api repos/seng1218/TA-Futures/contents/src/app/disclaimer/page.tsx | python3 -c ""imp"
2026-05-13 18:18:27,Bash,-,executed,"mkdir -p ""D:/taf new website ver 2/src/app/disclaimer"" ""D:/taf new website ver 2/src/app/faq"" ""D:/taf new website ver 2/src/app/insights"" ""D:/taf new website ver 2/src/app/personal-data-notice"" ""D:/ta"
2026-05-13 18:18:58,Write,D:\taf new website ver 2\src\app\disclaimer\page.tsx,created,
2026-05-13 18:19:39,Write,D:\taf new website ver 2\src\app\terms-conditions\page.tsx,created,
2026-05-13 18:19:52,Write,D:\taf new website ver 2\src\app\personal-data-notice\page.tsx,created,
2026-05-13 18:20:07,Write,D:\taf new website ver 2\src\app\whistleblowing-policy\page.tsx,created,
2026-05-13 18:20:11,Write,D:\taf new website ver 2\src\app\insights\page.tsx,created,
2026-05-13 18:21:26,Write,D:\taf new website ver 2\src\app\faq\page.tsx,created,
2026-05-13 18:21:41,Edit,D:\taf new website ver 2\src\app\about-us\page.tsx,modified,
2026-05-13 18:21:45,Edit,D:\taf new website ver 2\src\app\about-us\page.tsx,modified,
2026-05-13 18:21:49,Edit,D:\taf new website ver 2\src\app\about-us\page.tsx,modified,
2026-05-13 18:21:58,Edit,D:\taf new website ver 2\src\app\about-us\page.tsx,modified,
2026-05-13 18:22:01,Edit,D:\taf new website ver 2\src\app\about-us\page.tsx,modified,
2026-05-13 18:22:06,Edit,D:\taf new website ver 2\src\app\about-us\page.tsx,modified,
2026-05-13 18:25:22,Bash,-,executed,"mkdir -p ""D:/taf new website ver 2/src/app/academy/futures-101"" ""D:/taf new website ver 2/src/app/academy/fcpo-mastery"" ""D:/taf new website ver 2/src/app/academy/technical-analysis"" ""D:/taf new websit"
2026-05-13 18:25:28,Edit,D:\taf new website ver 2\src\app\academy\AcademyContent.tsx,modified,
2026-05-13 18:25:29,Edit,D:\taf new website ver 2\src\app\academy\AcademyContent.tsx,modified,
2026-05-13 18:26:36,Write,D:\taf new website ver 2\src\app\academy\futures-101\page.tsx,created,
2026-05-13 18:27:40,Write,D:\taf new website ver 2\src\app\academy\fcpo-mastery\page.tsx,created,
2026-05-13 18:29:03,Write,D:\taf new website ver 2\src\app\academy\technical-analysis\page.tsx,created,
2026-05-13 18:29:57,Write,D:\taf new website ver 2\src\app\academy\platform-architecture\page.tsx,created,
2026-05-13 18:35:19,Edit,D:\taf new website ver 2\src\app\academy\futures-101\page.tsx,modified,
2026-05-13 18:35:27,Edit,D:\taf new website ver 2\src\app\academy\fcpo-mastery\page.tsx,modified,
2026-05-13 18:35:35,Edit,D:\taf new website ver 2\src\app\academy\technical-analysis\page.tsx,modified,
2026-05-13 18:35:43,Edit,D:\taf new website ver 2\src\app\academy\platform-architecture\page.tsx,modified,
2026-05-14 09:25:32,Write,D:\taf new website ver 2\src\app\anti-corruption-policy\page.tsx,created,
2026-05-14 09:25:57,Write,D:\taf new website ver 2\src\app\code-of-ethics\page.tsx,created,
2026-05-14 09:26:17,Edit,D:\taf new website ver 2\src\components\Footer.tsx,modified,
2026-05-14 09:46:55,Write,D:\taf new website ver 2\src\components\ThemeProvider.tsx,created,
2026-05-14 09:46:58,Edit,D:\taf new website ver 2\src\components\ThemeToggle.tsx,modified,
2026-05-14 09:47:12,Write,D:\taf new website ver 2\src\app\layout.tsx,created,
2026-05-14 10:32:32,Edit,D:\taf new website ver 2\src\app\about-us\page.tsx,modified,
2026-05-14 10:33:11,Edit,D:\taf new website ver 2\src\app\about-us\page.tsx,modified,
